pathway_id	pathway	pathway_score	geomean	min_edge_score	n_edges	grade_A	grade_B	grade_C	grade_D	edge_details
42	Unique Path #42 (Original #61): EGFR → ERBB3 → ERBB4 → SHC1 → SRC	0.38	0.38	0.38	4	0	0	4	0	Unique Path #42 (Original #61): EGFR→ERBB3[C:0.38]; ERBB3→ERBB4[C:0.38]; ERBB4→SHC1[C:0.38]; SHC1→SRC[C:0.38]
46	Unique Path #46 (Original #69): EGFR → SOS1 → SHC1	0.38	0.38	0.38	2	0	0	2	0	Unique Path #46 (Original #69): EGFR→SOS1[C:0.38]; SOS1→SHC1[C:0.38]
50	Unique Path #50 (Original #77): EGFR → ERBB3 → SHC1	0.38	0.38	0.38	2	0	0	2	0	Unique Path #50 (Original #77): EGFR→ERBB3[C:0.38]; ERBB3→SHC1[C:0.38]
59	Unique Path #59 (Original #101): EGFR → ERBB3 → ERBB2 → SHC1 → SRC	0.38	0.38	0.38	4	0	0	4	0	Unique Path #59 (Original #101): EGFR→ERBB3[C:0.38]; ERBB3→ERBB2[C:0.38]; ERBB2→SHC1[C:0.38]; SHC1→SRC[C:0.38]
67	Unique Path #67 (Original #133): EGFR → SHC1	0.38	0.38	0.38	1	0	0	1	0	Unique Path #67 (Original #133): EGFR→SHC1[C:0.38]
69	Unique Path #69 (Original #135): EGFR → ERBB3 → ERBB2 → SHC1	0.38	0.38	0.38	3	0	0	3	0	Unique Path #69 (Original #135): EGFR→ERBB3[C:0.38]; ERBB3→ERBB2[C:0.38]; ERBB2→SHC1[C:0.38]
74	Unique Path #74 (Original #179): EGFR → ERBB3 → ERBB2 → ERBIN	0.38	0.38	0.38	3	0	0	3	0	Unique Path #74 (Original #179): EGFR→ERBB3[C:0.38]; ERBB3→ERBB2[C:0.38]; ERBB2→ERBIN[C:0.38]
24	Unique Path #24 (Original #25): EGFR → PIK3CA → PIK3R1 → PIK3R2	0.361	0.465	0.12	3	2	0	0	1	Unique Path #24 (Original #25): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R1[A:0.90]; PIK3R1→PIK3R2[A:0.93]
33	Unique Path #33 (Original #43): EGFR → PIK3CA → PIK3R3 → PIK3CB → PIK3R2	0.283	0.353	0.12	4	1	0	2	1	Unique Path #33 (Original #43): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R3[C:0.38]; PIK3R3→PIK3CB[C:0.38]; PIK3CB→PIK3R2[A:0.90]
41	Unique Path #41 (Original #59): EGFR → PIK3CA → PIK3R2 → PIK3CD → PIK3R3	0.283	0.353	0.12	4	1	0	2	1	Unique Path #41 (Original #59): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R2[A:0.90]; PIK3R2→PIK3CD[C:0.38]; PIK3CD→PIK3R3[C:0.38]
43	Unique Path #43 (Original #62): EGFR → PIK3CA → PIK3R3 → PIK3CG → PIK3R2	0.283	0.353	0.12	4	1	0	2	1	Unique Path #43 (Original #62): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R3[C:0.38]; PIK3R3→PIK3CG[C:0.38]; PIK3CG→PIK3R2[A:0.90]
49	Unique Path #49 (Original #74): EGFR → PIK3CA → PIK3R2 → PIK3CB → PIK3R3	0.283	0.353	0.12	4	1	0	2	1	Unique Path #49 (Original #74): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R2[A:0.90]; PIK3R2→PIK3CB[C:0.38]; PIK3CB→PIK3R3[C:0.38]
51	Unique Path #51 (Original #78): EGFR → PIK3CA → PIK3R2 → PIK3CG → PIK3R3	0.283	0.353	0.12	4	1	0	2	1	Unique Path #51 (Original #78): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R2[A:0.90]; PIK3R2→PIK3CG[C:0.38]; PIK3CG→PIK3R3[C:0.38]
66	Unique Path #66 (Original #130): EGFR → PIK3CA → PIK3R3 → PIK3CD → PIK3R2	0.283	0.353	0.12	4	1	0	2	1	Unique Path #66 (Original #130): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R3[C:0.38]; PIK3R3→PIK3CD[C:0.38]; PIK3CD→PIK3R2[A:0.90]
16	Unique Path #16 (Original #16): EGFR → PIK3CA → PIK3R2 → PIK3R3	0.277	0.345	0.12	3	1	0	1	1	Unique Path #16 (Original #16): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R2[A:0.90]; PIK3R2→PIK3R3[C:0.38]
27	Unique Path #27 (Original #32): EGFR → PIK3CA → PIK3R1 → CBL	0.277	0.345	0.12	3	1	0	1	1	Unique Path #27 (Original #32): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R1[A:0.90]; PIK3R1→CBL[C:0.38]
37	Unique Path #37 (Original #51): EGFR → PIK3CA → PIK3R3 → PIK3R2	0.277	0.345	0.12	3	1	0	1	1	Unique Path #37 (Original #51): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R3[C:0.38]; PIK3R3→PIK3R2[A:0.90]
5	Unique Path #5 (Original #5): EGFR → PIK3CA → PIK3R2	0.266	0.329	0.12	2	1	0	0	1	Unique Path #5 (Original #5): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R2[A:0.90]
65	Unique Path #65 (Original #123): EGFR → PIK3CA → PIK3R1	0.266	0.329	0.12	2	1	0	0	1	Unique Path #65 (Original #123): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R1[A:0.90]
47	Unique Path #47 (Original #70): EGFR → NRG1 → ERBB3 → SHC1	0.253	0.309	0.12	3	0	1	1	1	Unique Path #47 (Original #70): EGFR→NRG1[D:0.12]; NRG1→ERBB3[B:0.65]; ERBB3→SHC1[C:0.38]
78	Unique Path #78 (Original #231): EGFR → NRG1 → ERBB3	0.231	0.279	0.12	2	0	1	0	1	Unique Path #78 (Original #231): EGFR→NRG1[D:0.12]; NRG1→ERBB3[B:0.65]
36	Unique Path #36 (Original #48): EGFR → PIK3CA → PIK3R3	0.185	0.214	0.12	2	0	0	1	1	Unique Path #36 (Original #48): EGFR→PIK3CA[D:0.12]; PIK3CA→PIK3R3[C:0.38]
72	Unique Path #72 (Original #174): EGFR → TGFA → ERBB3	0.185	0.214	0.12	2	0	0	1	1	Unique Path #72 (Original #174): EGFR→TGFA[D:0.12]; TGFA→ERBB3[C:0.38]
